FIPS,year,region,region_st,stateab,State,St_TL_AA,St_TL_Wh,St_pAtt_AA,St_pAtt_Wh,St_STr_AA,St_STr_Wh,segpreBrown,pSt_TL_AA,pSt_TL_Wh,pSt_pAtt_AA,pSt_pAtt_Wh,pSt_STr_AA,pSt_STr_Wh,pSt_TL_AA_1,pSt_TL_AA_6,pSt_TL_AA_10,pSt_TL_AA_14,pSt_TL_Wh_1,pSt_TL_Wh_6,pSt_TL_Wh_10,pSt_TL_Wh_14,pSt_pAtt_AA_1,pSt_pAtt_AA_6,pSt_pAtt_AA_10,pSt_pAtt_AA_14,pSt_pAtt_Wh_1,pSt_pAtt_Wh_6,pSt_pAtt_Wh_10,pSt_pAtt_Wh_14,pSt_STr_AA_1,pSt_STr_AA_6,pSt_STr_AA_10,pSt_STr_AA_14,pSt_STr_Wh_1,pSt_STr_Wh_6,pSt_STr_Wh_10,pSt_STr_Wh_14,enrolage,drop_age,work_age,enrolage_6,drop_age_14,work_age_14,comyrs,comyrs_miss,childcom,childcom_miss,childcom_fill,comyrs_fill,pcomyrs,pchildcom
1,1900,3,South,AL,Alabama,,,,,,,1,30.969009,100.67053,.46231267,.49683991,72.979362,50.639317,35.302986,56.017971,71.444031,85.851517,103.09551,114.63237,123.1562,131.05278,.47481662,.53453737,.57895517,.6203872,.50729471,.55754995,.59533119,.63095868,72.130089,67.931854,64.631012,61.381512,50.005054,46.957066,44.666679,42.507851,,,,0,0,0,,1,,1,,,7.0314527,4.2922568
1,1901,3,South,AL,Alabama,,,,,,,1,35.302986,103.09551,.47481662,.50729471,72.130089,50.005054,39.573315,59.969986,75.141396,89.29422,105.48129,116.82214,125.18916,132.92892,.48713398,.54592174,.58959311,.63027877,.51761502,.56719714,.60443997,.63952905,71.284027,67.101837,63.813828,60.577152,49.379013,46.372135,44.114635,41.988697,,,,0,15,0,,1,,1,,,7.1049032,4.4012337
1,1902,3,South,AL,Alabama,,,,,,,1,39.573315,105.48129,.48713398,.51761502,71.284027,49.379013,43.779964,63.858334,78.775093,92.673271,107.82786,118.97269,127.18291,134.76587,.49926475,.55711949,.60004443,.63998365,.52780068,.57670975,.61341417,.64796489,70.44117,66.275024,62.999847,59.776005,48.761192,45.795429,43.57082,41.477772,,,,0,15,0,,1,,1,,,7.1769614,4.5095701
1,1903,3,South,AL,Alabama,,,,,,,1,43.779964,107.82786,.49926475,.52780068,70.44117,48.761192,47.92297,67.683006,82.345139,95.988663,110.13523,121.08405,129.13744,136.5636,.51120889,.56813061,.61030912,.64950198,.53785169,.58608782,.62225378,.65626603,69.601524,65.451416,62.189075,58.978069,48.151592,45.226944,43.035225,40.975063,,,,0,16,12,,1,,1,,,7.2476282,4.6172667
1,1904,3,South,AL,Alabama,,,,,,,1,47.92297,110.13523,.51120889,.53785169,69.601524,48.151592,52.002293,71.444031,85.851517,99.240387,112.4034,123.1562,131.05278,138.32211,.5229665,.57895517,.6203872,.65883362,.54776812,.59533119,.63095868,.66443259,68.765091,64.631012,61.381512,58.183338,47.550217,44.666679,42.507851,40.480579,,,,0,16,12,,1,,1,,,7.3169022,4.7243237
1,1905,3,South,AL,Alabama,,140,,.52487803,,,1,52.002293,112.4034,.5229665,.54776812,68.765091,47.550217,56.017971,75.141396,89.29422,102.42846,114.63237,125.18916,132.92892,140.04144,.53453737,.58959311,.63027877,.66797876,.55754995,.60443997,.63952905,.67246455,67.931854,63.813828,60.577152,57.391815,46.957066,44.114635,41.988697,39.994316,,,,0,16,12,,1,,1,,,7.3847842,4.8307409
1,1906,3,South,AL,Alabama,,,,,,,1,56.017971,114.63237,.53453737,.55754995,67.931854,46.957066,59.969986,78.775093,92.673271,105.55285,116.82214,127.18291,134.76587,141.72157,.54592174,.60004443,.63998365,.67693722,.56719714,.61341417,.64796489,.68036187,67.101837,62.999847,59.776005,56.6035,46.372135,43.57082,41.477772,39.516273,0,0,0,0,16,12,,1,,1,,,7.4512739,4.9365182
1,1907,3,South,AL,Alabama,,113.3,,,63.202778,45.121601,1,59.969986,116.82214,.54592174,.56719714,67.101837,46.372135,63.858334,82.345139,95.988663,108.61359,118.97269,129.13744,136.5636,143.36249,.55711949,.61030912,.64950198,.68570912,.57670975,.62225378,.65626603,.6881246,66.275024,62.189075,58.978069,55.818394,45.795429,43.035225,40.975063,39.046459,0,0,0,0,16,14,,1,,1,,,7.5163713,5.0416555
1,1908,3,South,AL,Alabama,,115.9,,.65228641,,,1,63.858334,118.97269,.55711949,.57670975,66.275024,45.795429,67.683006,85.851517,99.240387,111.61068,121.08405,131.05278,138.32211,144.96422,.56813061,.6203872,.65883362,.69429439,.58608782,.63095868,.66443259,.69575274,65.451416,61.381512,58.183338,55.036495,45.226944,42.507851,40.480579,38.584862,0,0,0,0,16,14,,1,,1,,,7.5800767,5.1461535
1,1909,3,South,AL,Alabama,,117.3,,,,,1,67.683006,121.08405,.56813061,.58608782,65.451416,45.226944,71.444031,89.29422,102.42846,114.54408,123.1562,132.92892,140.04144,146.52673,.57895517,.63027877,.66797876,.7026931,.59533119,.63952905,.67246455,.70324624,64.631012,60.577152,57.391815,54.257809,44.666679,41.988697,39.994316,38.131489,0,0,0,8,16,14,8,0,6,0,6,8,7.6423898,5.250011
1,1910,3,South,AL,Alabama,,117,,.60854697,,,1,71.444031,123.1562,.57895517,.59533119,64.631012,44.666679,75.141396,92.673271,105.55285,117.41384,125.18916,134.76587,141.72157,148.05005,.58959311,.63998365,.67693722,.71090513,.60443997,.64796489,.68036187,.7106052,63.813828,59.776005,56.6035,53.482327,44.114635,41.477772,39.516273,37.68634,0,0,0,8,16,14,8,0,6,0,6,8,7.703311,5.353229
1,1911,3,South,AL,Alabama,,132.39999,,.5944109,,,1,75.141396,125.18916,.58959311,.60443997,63.813828,44.114635,78.775093,95.988663,108.61359,120.21993,127.18291,136.5636,143.36249,149.53415,.60004443,.64950198,.68570912,.71893066,.61341417,.65626603,.6881246,.71782947,62.999847,58.978069,55.818394,52.710052,43.57082,40.975063,39.046459,37.249413,0,0,0,8,16,14,8,0,6,0,6,8,7.7628393,5.4558077
1,1912,3,South,AL,Alabama,,122.3,,.60752249,,,1,78.775093,127.18291,.60004443,.61341417,62.999847,43.57082,82.345139,99.240387,111.61068,122.96236,129.13744,138.32211,144.96422,150.97905,.61030912,.65883362,.69429439,.72676951,.62225378,.66443259,.69575274,.7249192,62.189075,58.183338,55.036495,51.94099,43.035225,40.480579,38.584862,36.820705,0,0,0,8,16,14,8,0,6,0,6,8,7.8209758,5.5577464
1,1913,3,South,AL,Alabama,,124.7,,.61828387,,,1,82.345139,129.13744,.61030912,.62225378,62.189075,43.035225,85.851517,102.42846,114.54408,125.64113,131.05278,140.04144,146.52673,152.38475,.6203872,.66797876,.7026931,.73442173,.63095868,.67246455,.70324624,.73187429,61.381512,57.391815,54.257809,51.175133,42.507851,39.994316,38.131489,36.400223,0,0,0,8,16,14,8,0,6,0,6,8,7.8777204,5.6590452
1,1914,3,South,AL,Alabama,,125,,.62879997,58.748806,46.561592,1,85.851517,131.05278,.6203872,.63095868,61.381512,42.507851,89.29422,105.55285,117.41384,128.25623,132.92892,141.72157,148.05005,153.75127,.63027877,.67693722,.71090513,.74188739,.63952905,.68036187,.7106052,.73869479,60.577152,56.6035,53.482327,50.412483,41.988697,39.516273,37.68634,35.987961,0,0,0,8,16,14,8,0,6,0,6,8,7.9330721,5.7597041
